name,state,street,lon,lat,formatted,categories,min_fee
Ramses Hilton,Cairo,Al Ghelal Street,31.231920049780665,30.0505894,"Ramses Hilton, 1115 Al Ghelal Street, Boulak, Cairo, 12344, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']",98.0
Conrad Cairo,Cairo,Al Matbaah Al Amireh Street,31.228192046347168,30.0654238,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",50.0
Hilton Pyramids Golf,Giza,Al Wahat Road,31.04439972284689,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']",0.0
Cairo Pyramids Hotel,Giza,"Cairo, Alexandria Desert Road",31.126265002453746,29.9929105,"Cairo Pyramids Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']",0.0
Sofitel,Cairo,Montazah Al Gezira Street,31.224616965446906,30.038717400000003,"Sofitel Al-Gezirah Cairo, 3 Montazah Al Gezira Street, Bab al Luq, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']",0.0
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar Street,31.222706271668887,30.06799785,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0.0
"Fairmont Nile City Hotel, Cairo",Cairo,Kornish Al Nil Street,31.22787668555071,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",0.0
Maadi Hotel,Cairo,Masr Helwan Agricultural Road,31.251331666029024,29.95927375,"Maadi Hotel, 19 Masr Helwan Agricultural Road, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']",0.0
فندق بيوم ليكسايد,Faiyum,Qaroun Lake Road,30.461126082476248,29.41949025,"فندق بيوم ليكسايد, Qaroun Lake Road, Youssef Al Sediq City, Egypt","['accommodation', 'accommodation.hotel']",0.0
البيت,Cairo,Street 23,31.26889895,29.96506025,"home, 4 Street 23, Ma‘di, Cairo, 11728, Egypt","['accommodation', 'accommodation.apartment', 'accommodation.hotel', 'building', 'building.accommodation']",0.0
