name,state,street,lon,lat,formatted,categories,min_fee
007',Red Sea,"Hurghada, Ismailia Road",33.7191656,27.3133308,"007, Hurghada, Ismailia Road, Al Ahia', 84509, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.seafood']",0
3nd Sokrat,Red Sea,Ahmed Ragab Street,33.67413156,27.40809795,"3nd Sokrat, Ahmed Ragab Street, Aj Jona, 84513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.regional']",0
9D Cinema,Bani Sweif,Ahmed Orabi Street,31.0999873,29.0646308,"9D Cinema, Ahmed Orabi Street, Bani Ateya, 62513, Egypt","['entertainment', 'entertainment.cinema']",0
Abdel Rahim Koueider,Cairo,Street 9,31.2608802,29.9568801,"Abdel Rahim Koueider, 73 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Abeer Restaurant,Aswan,Abtal Al Tahrir Street,32.9007941,24.0991194,"Abeer Restaurant, Abtal Al Tahrir Street, Saleh Gahin, 81543, Egypt","['catering', 'catering.restaurant']",0
Abu Al Hawa café,Aswan,Aswan Western Agricultural Road,32.8807659,24.1343654,"Abu Al Hawa café, Aswan Western Agricultural Road, Nag Al-Ghalalab, 81911, Egypt","['catering', 'catering.cafe']",0
Abu Auf,Cairo,Street 9,31.2616461,29.955385,"Abu Auf, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.nuts']",0
Abu Khaled,Cairo,Champollion Street,31.2374581,30.04943875,"Abu Khaled, 13 Champollion Street, Al-Azbakeya, Cairo, 11519, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Adam,South Sinai,"Ras Sedr, Al Tour Road",32.7502116,29.56700885,"Adam, Ras Sedr, Al Tour Road, Ras Sudr, 46612, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Adam's Döner & Grill,Cairo,Street 12,31.2617669,29.9599,"Adam's Döner & Grill, Street 12, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.kebab']",0
AL ABD,Al Qalyubiya,Hany Kamel Street,31.1802023,30.4742417,"AL ABD, Hany Kamel Street, Banha, 13516, Egypt","['catering', 'catering.restaurant']",0
Al Abd Bakery,Luxor,Tamthal Mamnoon Street,32.6253596,25.7136826,"Al Abd Bakery, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Al Abd Bakery,Luxor,Tamthal Mamnoon Street,32.6253596,25.7136826,"Al Abd Bakery, Tamthal Mamnoon Street, Al Baairat Village, 85958, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",0
Al Ahram beer shop,Aswan,Mohamed Ahmed Yaacoub Street,32.9025115,24.103255,"Al Ahram beer shop, Mohamed Ahmed Yaacoub Street, Saleh Gahin, 81543, Egypt","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",0
Al Batanyoun Port parking,Aswan,25,32.8829133,24.0370488,"Al Batanyoun Port parking, 25, Shash, 81531, Egypt","['catering', 'catering.restaurant']",0
Al Diwan,Red Sea,"Al Qusair, Marsa Aalam Road",34.6094387,25.6001619,"Al Diwan, Al Qusair, Marsa Aalam Road, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.international', 'internet_access', 'internet_access.free']",0
Al Fresco,Red Sea,Mövenpick El Qusair,34.24913377,26.1529809,"Al Fresco, Mövenpick El Qusair, Al Qusair City, 84712, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.italian']",0
Al masry,Aswan,Al Matar Street,32.8987551,24.0927083,"Al masry, Al Matar Street, Othman Ahmed Ibrahim, 81521, Egypt","['catering', 'catering.restaurant']",0
Al Shabrawy,South Sinai,Al Salam Street,32.7195341,29.5897335,"Al Shabrawy, Al Salam Street, Ras Sudr, 46612, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.mediterranean', 'vegetarian']",0
Al Sultan,Red Sea,"Al Qusair, Marsa Aalam Road",34.6371145,25.5346655,"Al Sultan, Al Qusair, Marsa Aalam Road, Port Ghalib, Egypt","['catering', 'catering.restaurant']",0
Al-Dawar Cafe,Giza,Mahmoud Eissa Street,31.1827293,30.0575892,"Al-Dawar Cafe, Mahmoud Eissa Street, Meet Oqba, Giza, 12827, Egypt","['catering', 'catering.cafe']",0
Aladdin Restaurant - Oriental Food,Red Sea,"Hurghada, Ismailia Road",33.7184021,27.312691,"Aladdin Restaurant - Oriental Food, Hurghada, Ismailia Road, Al Ahia', 84509, Egypt","['catering', 'catering.restaurant', 'catering.restaurant.oriental']",0
