name,state,street,lon,lat,formatted,categories,No_column
Ramses Hilton,Cairo,Al Ghelal Street,31.231920049780662,30.0505894,"Ramses Hilton, 1115 Al Ghelal Street, Boulak, Cairo, 12344, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']"
Conrad Cairo,Cairo,Al Matbaah Al Amireh Street,31.228192046347168,30.065423799999998,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']"
Hilton Pyramids Golf,Giza,Al Wahat Road,31.04439972284689,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']"
Cairo Pyramids Hotel,Giza,"Cairo, Alexandria Desert Road",31.126265002453742,29.9929105,"Cairo Pyramids Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']"
Sofitel,Cairo,Montazah Al Gezira Street,31.224616965446906,30.038717400000003,"Sofitel Al-Gezirah Cairo, 3 Montazah Al Gezira Street, Bab al Luq, 11568, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']"
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar Street,31.222706271668887,30.067997849999998,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']"
"Fairmont Nile City Hotel, Cairo",Cairo,Kornish Al Nil Street,31.22787668555071,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']"
Maadi Hotel,Cairo,Masr Helwan Agricultural Road,31.251331666029024,29.95927375,"Maadi Hotel, 19 Masr Helwan Agricultural Road, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
فندق بيوم ليكسايد,Faiyum,Qaroun Lake Road,30.461126082476248,29.41949025,"فندق بيوم ليكسايد, Qaroun Lake Road, Youssef Al Sediq City, Egypt","['accommodation', 'accommodation.hotel']"
البيت,Cairo,Street 23,31.26889895,29.96506025,"home, 4 Street 23, Ma‘di, Cairo, 11728, Egypt","['accommodation', 'accommodation.apartment', 'accommodation.hotel', 'building', 'building.accommodation']"
فندق لو مريديان الأهرام,Giza,Hadaek Al Ahram 3 Street,31.1299254,29.9893841,"Le Méridien Pyramids Hotel & Spa, Hadaek Al Ahram 3 Street, Remaya Square, 12561, Egypt","['accommodation', 'accommodation.hotel']"
Hyatt Regency Cairo West,Giza,"Cairo, Alexandria Desert Road",31.07305122094545,30.01831275,"Hyatt Regency Cairo West, km 22 Cairo, Alexandria Desert Road, Ash Sheikh Zayed, 12677, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']"
Steigenberger Pyramids Cairo,Giza,"Cairo, Alexandria Desert Road",31.125261135653062,29.9938693,"Steigenberger Pyramids Cairo, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']"
Horus House Hotel,Cairo,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']"
Arabian Nights,Cairo,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']"
Golden Tulip Hotel October,Giza,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']"
Best View Pyramids Hotel,Giza,Abou Saraya Street,31.1420605,29.9734817,"Best View Pyramids Hotel, 13 Abou Saraya Street, Nazlet al Batran, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
Cairo World Trade Center Hotel & Residences,Cairo,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']"
براسبيل,Cairo,Talaat Harb Street,31.241795,30.0517845,"Brassbell, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']"
Crown Hotel,Cairo,Gawad Hosny Street,31.2432594,30.0485916,"Crown Hotel, 16 Gawad Hosny Street, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
فندق كمبنسكي النيل القاهرة,Cairo,Ahmed Ragheb Street,31.230850144384405,30.0387215,"Kempinski Nile Hotel Garden City Cairo, 12 Ahmed Ragheb Street, Bab al Luq, Cairo, 11241, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
فيكتوريا,Cairo,Al Gemhoureya Street,31.245928498325334,30.0566901,"Victoria, 66 Al Gemhoureya Street, Al-Azbakeya, Cairo, 11523, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
النيل,Cairo,Wasem Hassn Street,31.232367076415798,30.04588595,"The Nile Ritz-Carlton, Cairo, Wasem Hassn Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
فور سيزونز,Giza,Al Raed Rawaia Ateya Street,31.217259705487578,30.02412435,"Four Seasons Hotel Cairo at The First Residence, Al Raed Rawaia Ateya Street, Giza, 11555, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
كتراكت بيراميدز ريزورت,Giza,Saqara Al Syahi Road,31.1791949431326,29.964770299999998,"Cataract Pyramids Resort, Saqara Al Syahi Road, Shabramant, 12841, Egypt","['accommodation', 'accommodation.hotel', 'sport']"
ماريوت القاهرة,Cairo,Al Gezira Street,31.22448236672649,30.0568203,"Cairo Marriott Hotel & Omar Khayyam Casino, 16 Al Gezira Street, Boulak, 11211, Egypt","['accommodation', 'accommodation.hotel']"
Holiday Inn Maadi Cairo,Cairo,Hussain Ahmed Othman Street,31.24822461387093,29.961000249999998,"Holiday Inn Maadi Cairo, 29A Hussain Ahmed Othman Street, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free']"
فندق لونشان,Cairo,Ismail Mohamed Street,31.2191142,30.0638579,"Hotel Longchamps, Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']"
أواسيس هوتيل,Giza,"Cairo, Alexandria Desert Road",31.103567574657326,30.01409375,"The Oasis Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12556, Egypt","['accommodation', 'accommodation.hotel']"
"InterContinental Cairo Semiramis, an IHG Hotel",Cairo,Kamal Al Din Hussain Street,31.23226068207317,30.042864899999998,"InterContinental Cairo Semiramis, an IHG Hotel, Kamal Al Din Hussain Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']"
hotel Velvet 1915,Cairo,Maarouf Street,31.23907421608358,30.04926655,"hotel Velvet 1915, 2 Maarouf Street, Bab al Luq, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
فندق أوزيريس,Cairo,Mohamed Mahmoud Street,31.24155396475909,30.0425956,"Hotel Osiris, Mohamed Mahmoud Street, Bab al Luq, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
Windsor,Cairo,Mohamed Bek Al Alfy Street,31.24574314557654,30.05343105,"Windsor, 19 Mohamed Bek Al Alfy Street, Al-Azbakeya, Cairo, 11574, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
Pyramids View Inn,Giza,Abou Al Houl Al Syahi Western Street,31.14114227405858,29.9748143,"Pyramids View Inn, Abou Al Houl Al Syahi Western Street, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
Pearl Hotel,Cairo,Street 82,31.259555794627687,29.9565521,"Pearl Hotel, Street 82, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access']"
Regent House Hotel,Cairo,Al Shai Al Hendy Passage,31.2396366,30.048999,"Regent House Hotel, 2 Al Shai Al Hendy Passage, Bab al Luq, Cairo, 42801, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
جمعية فنادق الشباب المصري,Cairo,Abd Al Aziz Al Seoud Street,31.2243921,30.0275393,"Youth Hotel, Abd Al Aziz Al Seoud Street, Al Manyal, Cairo, 11555, Egypt","['accommodation', 'accommodation.hotel']"
Villa Belle Epoque,Cairo,Street 13,31.2631143,29.9595817,"Villa Belle Epoque, 63 Street 13, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['accommodation', 'accommodation.hotel']"
اسماعيل ابو السعود,Giza,Waslet Dahshur Road,30.9687471,30.017301,"ismail abu alsoud, 95 Waslet Dahshur Road, October Hills, 12588, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
8ش ابرهيم خطاب،كفر نصار،الجيزة،محافظة الجيزة 3515051,Giza,Bashir Khatab Street,31.1197104,29.9987147,"8ش ابرهيم خطاب،كفر نصار،الجيزة،محافظة الجيزة 3515051, 8 Bashir Khatab Street, Giza, 12559, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']"
Suisse Hotel,Cairo,Mohamed Basyouni Street,31.2373404,30.0482677,"Suisse Hotel, 26 Mohamed Basyouni Street, Bab al Luq, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']"
فندق فور سيزون نايل بلازا القاهره,Cairo,Kornish Al Nil Street,31.2293727,30.0362273,"Four Seasons Hotel Cairo at Nile Plaza, 1089 Kornish Al Nil Street, Al Manyal, Cairo, 11519, Egypt","['accommodation', 'accommodation.hotel']"
Almadiafa - المضيفه,Cairo,Champollion Street,31.2353043,30.0472654,"Almadiafa, 4 Champollion Street, Al-Azbakeya, Cairo, 11556, Egypt","['accommodation', 'accommodation.hotel']"
Seven Eleven Heru Pyramids View Hotel,Giza,Sameh Abdel Hakam Street,31.1439583,29.9540856,"Seven Eleven Heru Pyramids View Hotel, 7 Sameh Abdel Hakam Street, Cairo, 12557, Egypt","['accommodation', 'accommodation.hotel', 'internet_access']"
Pyramids Park Resort Cairo,Giza,"Cairo, Alexandria Desert Road",31.1160362,30.0006064,"Pyramids Park Resort Cairo, Cairo, Alexandria Desert Road, Remaya Square, 12556, Egypt","['accommodation', 'accommodation.hotel']"
فندق الزمالك لضباط القوات المسلحة,Cairo,15th May Bridge,31.219313381673302,30.0615215,"Zamalek Hotel For Armed Forces Officers, 15th May Bridge, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
فندق العربي,Cairo,Abd Al Aziz Al Seoud Street,31.222991619976938,30.01084455,"Al-Arabi, Abd Al Aziz Al Seoud Street, Masr Al-Qadima, Cairo, 11451, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']"
