name,state,district,street,lon,lat,formatted,categories,
Ramses Hilton,Cairo,Sharkas,Al Ghelal Street,31.23192005,30.0505894,"Ramses Hilton, 1115 Al Ghelal Street, Boulak, Cairo, 12344, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'wheelchair', 'wheelchair.yes']",
Conrad Cairo,Cairo,Souk El A'sr,Al Matbaah Al Amireh Street,31.22819205,30.0654238,"Conrad Cairo, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
Hilton Pyramids Golf,Giza,Block 3,Al Wahat Road,31.04439972,29.96299995,"Hilton Pyramids Golf, Al Wahat Road, Gardina Park valley, 6th of October, 12585, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'wheelchair', 'wheelchair.yes']",
Hilton Cairo Zamalek Residences,Cairo,Mohamed Mazhar,Mohamed Mazhar Street,31.22270627,30.06799785,"Hilton Cairo Zamalek Residences, 21 Mohamed Mazhar Street, Al-Sabtiyya, 11211, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
"Fairmont Nile City Hotel, Cairo",Cairo,El Sabteya,Kornish Al Nil Street,31.22787669,30.0719545,"Fairmont Nile City Hotel, Cairo, Kornish Al Nil Street, Al-Sabtiyya, Cairo, 11624, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access', 'internet_access.free', 'wheelchair', 'wheelchair.yes']",
Horus House Hotel,Cairo,Abo El Feda,Ismail Mohamed Street,31.2192726,30.0637719,"Horus House Hotel, 21 Ismail Mohamed Street, Al-Sabtiyya, 11568, Egypt","['accommodation', 'accommodation.hotel']",
Arabian Nights,Cairo,Al Mansuriyya,Al Aded Street,31.2672675,30.0486398,"Arabian Nights, 10 Al Aded Street, Islamic Cairo, Cairo, 11633, Egypt","['accommodation', 'accommodation.hotel']",
Golden Tulip Hotel October,Giza,Social Housing Land 2015,Side Zewil Street,31.0530119,29.9481384,"Golden Tulip Hotel October, Side Zewil Street, Al Fardous City, 6th of October, 12578, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",
Cairo World Trade Center Hotel & Residences,Cairo,Souk El A'sr,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",
براسبيل,Cairo,Maarouf,Talaat Harb Street,31.241795,30.0517845,"Brassbell, Talaat Harb Street, Bab al Luq, Cairo, 11956, Egypt","['accommodation', 'accommodation.hotel']",
